epoch,loss,lr,val_loss
0,0.4908619033901588,0.0001,
1,0.3732340679220531,0.0001,
2,0.33547436494542204,0.0001,
3,0.305649076466975,0.0001,
4,0.27036298795238783,0.0001,
5,0.2622607928579268,0.0001,
6,0.2556906062299791,0.0001,
7,0.2524413241316443,0.0001,
8,0.248475755362407,0.0001,
9,0.232826741979174,0.0001,
10,0.22583562492028528,0.0001,
11,0.21697547902231631,0.0001,
12,0.2228517961566863,0.0001,
13,0.2128643835692302,0.0001,
